"Type","Month","Weekday","Reach","Impressions","EngagedUser","Consumers","Consumptions","EngagedUserRate","ConversionRate","ConsumptionRate"
"Link",1,2,5168,8371,66,59,71,0.0127708978328173,0.0114164086687307,0.0137383900928793
"Link",1,4,4938,7910,66,63,70,0.0133657351154313,0.0127582017010936,0.0141757796678817
"Link",1,5,45920,5808,753,655,763,0.0163980836236934,0.01426393728223,0.0166158536585366
"Link",1,6,39600,7927,572,496,581,0.0144444444444444,0.0125252525252525,0.0146717171717172
"Link",2,3,9356,14986,448,381,505,0.0478837109876015,0.0407225309961522,0.0539760581445062
"Link",3,1,6876,10885,282,245,337,0.0410122164048866,0.035631180919139,0.0490110529377545
"Link",3,6,5730,10083,103,71,97,0.0179755671902269,0.01239092495637,0.0169284467713787
"Link",3,7,2933,5144,24,23,26,0.00818274803954995,0.0078418002045687,0.00886464370951244
"Link",4,2,70912,94172,1374,1106,1267,0.0193761281588448,0.0155967960288809,0.0178672157039711
"Link",4,5,35360,45260,339,325,477,0.00958710407239819,0.00919117647058824,0.0134898190045249
"Link",4,6,34192,42092,338,322,389,0.00988535329901731,0.00941740758072064,0.011376930276088
"Link",5,1,12540,19301,344,322,396,0.0274322169059011,0.0256778309409888,0.0315789473684211
"Link",10,4,68992,229733,1032,975,1345,0.0149582560296846,0.014132073283859,0.0194950139146568
"Link",10,5,4664,9463,204,182,251,0.0437392795883362,0.0390222984562607,0.0538164665523156
"Link",10,6,3616,6887,111,90,118,0.0306969026548673,0.0248893805309735,0.0326327433628319
"Link",11,4,21176,54779,330,228,329,0.0155836796373253,0.0107669059312429,0.015536456365697
"Link",12,2,1536,3094,84,76,99,0.0546875,0.0494791666666667,0.064453125
"Link",12,3,1925,3481,97,83,126,0.0503896103896104,0.0431168831168831,0.0654545454545455
"Link",12,4,7968,13023,206,158,223,0.0258534136546185,0.0198293172690763,0.0279869477911647
"Link",12,5,2645,4270,134,109,170,0.0506616257088847,0.0412098298676749,0.0642722117202268
"Link",12,6,18480,28438,517,366,460,0.0279761904761905,0.0198051948051948,0.0248917748917749
"Link",12,7,3454,6853,118,104,130,0.034163288940359,0.0301100173711639,0.0376375217139548
"Photo",1,1,18354,29481,3156,3041,4028,0.171951618175874,0.165685954015473,0.219461697722567
"Photo",1,2,5040,8367,1062,1023,1348,0.210714285714286,0.20297619047619,0.267460317460317
"Photo",1,3,72310,18235,4065,3891,5044,0.0562162909694371,0.0538099847877195,0.0697552205780667
"Photo",1,4,19828,35552,2952,2733,4316,0.148880371192253,0.137835384305023,0.217671979019568
"Photo",1,5,18850,32515,3420,3257,4370,0.181432360742706,0.172785145888594,0.23183023872679
"Photo",1,6,54306,39135,5814,5243,7012,0.107059993370898,0.0965455014178912,0.129120170883512
"Photo",1,7,24584,41950,3925,3673,5273,0.159656687276277,0.149406117800195,0.214489098600716
"Photo",2,1,83328,715548,7347,6329,10339,0.0881696428571429,0.0759528609831029,0.124075940860215
"Photo",2,2,24890,42680,4153,3964,5184,0.166854158296505,0.159260747288067,0.208276416231418
"Photo",2,3,48156,77098,5393,5161,7350,0.111990198521472,0.10717252263477,0.152628955893347
"Photo",2,4,40222,75289,5333,4951,7049,0.132589130326687,0.12309184028641,0.175252349460494
"Photo",2,5,32922,81130,4736,4525,5704,0.143855172832756,0.137446084685013,0.173258003766478
"Photo",2,6,212276,659861,7823,7361,10244,0.03685296500782,0.0346765531666321,0.0482579283574215
"Photo",2,7,163576,514939,3142,2979,4515,0.0192081968014868,0.0182117181004548,0.0276018486819582
"Photo",3,1,113224,151507,13582,13381,32840,0.119956899597259,0.118181657599096,0.2900445135307
"Photo",3,2,17990,32763,2193,2097,3097,0.121901056142301,0.116564758198999,0.172151195108394
"Photo",3,3,11076,17785,1014,985,1367,0.0915492957746479,0.0889310220296136,0.123420007222824
"Photo",3,4,90142,1311068,3979,3295,5941,0.0441414656874709,0.0365534379090768,0.0659071243149697
"Photo",3,5,9659,15849,1072,1009,1426,0.110984573972461,0.104462159643855,0.147634330676053
"Photo",3,6,162214,529928,5630,5363,28213,0.0347072385860653,0.0330612647490352,0.173924568779513
"Photo",3,7,45773,81414,6486,6333,21454,0.141699255019335,0.138356673147926,0.468704257968671
"Photo",4,1,174648,252243,7676,5254,7720,0.0439512619669278,0.0300833676881499,0.0442031972882598
"Photo",4,2,70530,106043,4803,4290,6691,0.068098681412165,0.0608251807741387,0.0948674322983128
"Photo",4,3,136182,218269,6116,5444,8992,0.0449104874359313,0.0399759145848937,0.0660292843400743
"Photo",4,4,79694,117573,5199,4616,6627,0.0652370316460461,0.0579215499284764,0.0831555700554621
"Photo",4,5,107096,169345,6004,5644,9882,0.0560618510495257,0.0527003809666094,0.0922723537760514
"Photo",4,6,55304,100868,5254,4708,6816,0.0950021698249675,0.085129466223058,0.123246058151309
"Photo",4,7,150930,289355,4344,3961,5990,0.0287815543629497,0.0262439541509309,0.0396872722454118
"Photo",5,1,14636,25827,1742,1457,2239,0.119021590598524,0.0995490571194315,0.152978955998907
"Photo",5,2,21228,38211,3073,2769,4123,0.144761635575655,0.130440927077445,0.194224609006972
"Photo",5,3,47672,73843,3216,2635,3914,0.0674609833864742,0.0552735358281591,0.0821027017956033
"Photo",5,4,71634,113750,4756,3789,6173,0.0663930535779099,0.0528938772091465,0.0861741631069045
"Photo",5,5,97820,153026,5076,3459,5683,0.051891228787569,0.0353608668983848,0.0580965037824576
"Photo",5,6,22396,38465,3068,2749,4068,0.136988747990713,0.122745133059475,0.18163957849616
"Photo",5,7,64026,108131,5647,4586,7530,0.0881985443413613,0.0716271514697154,0.117608471558429
"Photo",6,1,84373,150602,8099,6596,8773,0.0959904234767046,0.0781766678913871,0.103978760978038
"Photo",6,2,163428,278629,8407,7930,31567,0.0514416134322148,0.0485228969332061,0.193155395648237
"Photo",6,3,30245,47248,3456,3221,4684,0.114266820962143,0.106496941643247,0.154868573317904
"Photo",6,4,131045,189008,7508,6492,10068,0.0572932961959632,0.0495402342706704,0.0768285703384334
"Photo",6,5,84435,132789,4214,3697,12591,0.049908213418606,0.0437851601823888,0.149120625333096
"Photo",6,6,137999,207941,6284,5867,9164,0.0455365618591439,0.0425148008318901,0.0664062783063645
"Photo",6,7,28584,48141,4087,3947,6699,0.142982087881332,0.138084242933109,0.23436188077246
"Photo",7,1,46172,71239,3281,2907,4287,0.071060382916053,0.062960235640648,0.0928484795980248
"Photo",7,2,62080,98441,3812,3367,5236,0.0614046391752577,0.054236469072165,0.0843427835051546
"Photo",7,3,193448,288539,7338,6566,10685,0.037932674413796,0.0339419378851164,0.0552344816177991
"Photo",7,4,216404,426082,7988,6692,9613,0.0369124415445186,0.0309236428162141,0.0444215448882645
"Photo",7,5,88142,142622,4505,3164,18550,0.051110707721631,0.0358966213609857,0.210455855324363
"Photo",7,6,49074,82266,3794,3338,5109,0.0773118148102865,0.0680197253127929,0.104108081672576
"Photo",7,7,61442,94477,3919,3200,4868,0.0637837309983399,0.0520816379675141,0.0792291917580808
"Photo",8,1,84123,178488,5505,3902,6205,0.0654398915873186,0.0463844608489949,0.0737610403813464
"Photo",8,2,90422,238344,2733,2436,4895,0.0302249452566853,0.026940346375882,0.0541350556280551
"Photo",8,3,33586,73630,1853,1751,3035,0.0551717977728816,0.0521348180789615,0.0903650330494849
"Photo",8,4,53428,98850,3929,2486,3754,0.0735382196601033,0.0465299094107958,0.0702627835591824
"Photo",8,5,11559,18947,1340,1050,1373,0.115926983303054,0.0908383078120945,0.118781901548577
"Photo",8,6,36489,79450,2985,2594,4363,0.0818054756227904,0.0710899175093864,0.119570281454685
"Photo",8,7,49098,100668,3602,2950,4575,0.0733634771273779,0.060083913805043,0.0931809849688378
"Photo",9,1,17905,32459,2431,1961,2858,0.135772130689751,0.109522479754259,0.159620217816252
"Photo",9,2,20258,36484,3138,2616,3691,0.15490176720308,0.129134169217099,0.18219962483957
"Photo",9,3,64603,122667,5366,4089,6503,0.0830611581505503,0.0632942742597093,0.100660960017337
"Photo",9,4,28186,63958,1948,1378,1988,0.0691123252678635,0.0488895196196693,0.0705314695238771
"Photo",9,5,14576,26246,1971,1566,2257,0.135222283205269,0.107436882546652,0.154843578485181
"Photo",9,6,29816,50792,2574,1598,2569,0.0863294875234773,0.0535953850281728,0.0861617923262678
"Photo",9,7,21929,37304,2640,1923,2753,0.1203885266086,0.0876920972228556,0.125541520361166
"Photo",10,1,29345,67271,1770,1409,2241,0.060316919407054,0.0480149940364628,0.0763673538933379
"Photo",10,2,140301,297198,5749,4833,14292,0.040976186912424,0.0344473667329527,0.101866700878825
"Photo",10,3,3099,5718,512,464,1270,0.165214585350113,0.14972571797354,0.409809616005163
"Photo",10,4,101227,168348,5433,3548,5761,0.0536714512926393,0.0350499372697008,0.0569116935205034
"Photo",10,5,14473,27198,1811,1379,2043,0.125129551578802,0.0952808678228425,0.141159400262558
"Photo",10,6,62361,157140,6259,5725,13714,0.100367216689918,0.0918041724795946,0.219913086704832
"Photo",10,7,48219,87103,5811,5159,6817,0.120512660984259,0.10699102013729,0.141375806217466
"Photo",11,1,64124,130343,2971,2125,3457,0.0463321065435718,0.0331389183457052,0.0539111721040484
"Photo",11,2,83626,172562,2562,1836,3141,0.0306364049458302,0.0219548944108292,0.037560088967546
"Photo",11,3,105999,274274,2976,2181,4739,0.0280757365635525,0.020575665808168,0.0447079689431032
"Photo",11,4,43339,140555,1590,1175,2000,0.0366875100948338,0.0271118392210249,0.0461478114400425
"Photo",11,5,50639,124160,1417,1038,1542,0.0279823851181895,0.0204980351112779,0.030450838286696
"Photo",11,6,18267,34608,1942,1336,2090,0.106311928614441,0.0731373515081842,0.114413970547983
"Photo",11,7,72039,129963,3649,2583,5026,0.0506531184497286,0.0358555782284596,0.0697677646830189
"Photo",12,1,23333,39806,1477,947,1316,0.0633009042986328,0.0405862940899156,0.0564008057257961
"Photo",12,2,121190,233166,5492,3031,4482,0.0453172704018483,0.0250103143823748,0.0369832494430233
"Photo",12,3,11098,19861,900,644,868,0.0810956929176428,0.0580284735988466,0.0782122905027933
"Photo",12,4,34760,62809,1805,1068,1590,0.05192750287687,0.0307249712313003,0.0457422324510932
"Photo",12,5,27814,52178,3922,3138,13554,0.141008125404473,0.112820881570432,0.487308549651255
"Photo",12,6,4694,8668,280,183,250,0.0596506178099702,0.0389859394972305,0.0532594801874734
"Photo",12,7,40917,66240,1513,1073,1675,0.0369772955006477,0.0262238189505584,0.040936530048635
"Status",3,3,9120,14759,951,937,1290,0.104276315789474,0.102741228070175,0.141447368421053
"Status",4,6,17912,34774,2750,2567,6591,0.153528360875391,0.143311746315319,0.367965609647164
"Status",5,1,10152,17099,1636,1599,2755,0.161150512214342,0.157505910165485,0.271375098502758
"Status",5,4,23832,42313,1701,1570,2838,0.0713746223564955,0.0658778113460893,0.11908358509567
"Status",5,5,9232,16811,908,861,1967,0.0983535528596187,0.0932625649913345,0.213063258232236
"Status",6,6,8628,14847,870,843,1692,0.100834492350487,0.0977051460361613,0.196105702364395
"Status",6,7,12044,20327,2240,2193,3599,0.185984722683494,0.182082364662903,0.298820989704417
"Status",7,2,10824,20573,135,126,153,0.0124722838137472,0.0116407982261641,0.0141352549889135
"Status",7,3,18320,31448,3742,3682,7854,0.204257641921397,0.200982532751092,0.428711790393013
"Status",7,4,17360,33613,2573,2448,6017,0.148214285714286,0.141013824884793,0.346601382488479
"Status",7,5,41060,69760,6717,6549,8861,0.163589868485144,0.159498295177789,0.215806137359961
"Status",7,7,10956,19279,128,119,130,0.0116830960204454,0.0108616283315078,0.0118656443957649
"Status",8,2,14424,26000,304,286,383,0.0210759844703272,0.0198280643372158,0.026552967276761
"Status",8,3,9236,16054,1151,1130,1560,0.124621048072759,0.122347336509311,0.168904287570377
"Status",8,6,20168,35904,3370,3244,5106,0.167096390321301,0.160848869496232,0.253173343911146
"Status",8,7,8260,14305,997,953,1211,0.120702179176755,0.115375302663438,0.146610169491525
"Status",9,1,21256,41906,4840,4754,5906,0.227700414000753,0.223654497553632,0.277850959729018
"Status",9,4,9124,17776,1476,1397,1797,0.161771153003069,0.153112669881631,0.196953090749671
"Status",9,6,24312,45818,4518,4308,5075,0.185834155972359,0.177196446199408,0.208744652846331
"Status",10,1,9504,19556,1132,1032,1512,0.119107744107744,0.108585858585859,0.159090909090909
"Status",10,3,44288,85630,8707,8372,12416,0.196599530346821,0.189035404624277,0.280346820809249
"Status",10,5,21364,42119,3623,3392,4508,0.169584347500468,0.158771765586969,0.211009174311927
"Status",10,7,40432,78673,7364,7101,8885,0.18213296398892,0.17562821527503,0.219751681836169
"Status",11,4,9056,16362,1006,847,1153,0.111086572438163,0.0935291519434629,0.12731890459364
"Status",11,5,6692,13092,199,108,141,0.0297369994022714,0.0161386730424387,0.0210699342498506
"Status",11,7,8728,17827,2295,2235,2828,0.26294683776352,0.256072410632447,0.324014665444546
"Status",12,1,10472,20849,1191,1073,1389,0.113731856378915,0.10246371275783,0.132639419404125
"Status",12,2,3930,7509,130,86,112,0.0330788804071247,0.021882951653944,0.028498727735369
"Status",12,3,37096,69349,6293,6034,7901,0.169640931636834,0.162659046797498,0.212987923226224
"Status",12,5,41296,76477,7064,6631,7960,0.171057729562185,0.160572452537776,0.192754746222394
"Status",12,6,30052,54596,4917,4644,5920,0.163616398243045,0.154532144283242,0.196991880740051
"Status",12,7,29420,55596,6882,6609,8239,0.233922501699524,0.224643099932019,0.280047586675731
"Video",6,2,139008,277100,1779,1643,2356,0.0127978245856354,0.0118194636279926,0.016948664825046
"Video",7,3,21872,40413,3872,3822,7327,0.177029992684711,0.174743964886613,0.334994513533285
"Video",9,2,30624,56950,2080,1956,3253,0.0679205851619645,0.063871473354232,0.106223876698015
"Video",11,3,13544,30235,517,458,667,0.038171884229179,0.0338157117542823,0.0492468989958653
"Video",11,5,100768,220447,2101,1735,2331,0.0208498729755478,0.0172177675452525,0.0231323436011432
"Video",11,6,16416,31950,459,411,539,0.0279605263157895,0.0250365497076023,0.032833820662768
"Video",12,4,36208,61262,1141,1068,1728,0.0315123729562528,0.0294962439239947,0.0477242598320813
